Fecha,Hora,Radiacion,Temperatura
2019-01-30,06,0.0,295.95
2019-01-30,06,-1.0,295.85
2019-01-30,06,0.0,295.85
2019-01-30,06,0.0,295.85
2019-01-30,06,0.0,295.85
2019-01-30,06,0.0,295.85
2019-01-30,06,0.0,295.85
2019-01-30,06,0.0,295.75
2019-01-30,06,1.0,295.75
2019-01-30,06,2.0,295.85
2019-01-30,06,4.0,295.85
2019-01-30,06,5.0,295.85
2019-01-30,07,7.0,295.85
2019-01-30,07,8.0,295.75
2019-01-30,07,10.0,295.75
2019-01-30,07,12.0,295.85
2019-01-30,07,14.0,295.85
2019-01-30,07,16.0,295.85
2019-01-30,07,17.0,295.95
2019-01-30,07,24.0,295.95
2019-01-30,07,30.0,296.05
2019-01-30,07,34.0,296.05
2019-01-30,07,38.0,296.05
2019-01-30,07,43.0,296.05
2019-01-30,08,49.0,296.05
2019-01-30,08,37.0,296.15
2019-01-30,08,40.0,296.25
2019-01-30,08,53.0,296.25
2019-01-30,08,65.0,296.25
2019-01-30,08,85.0,296.35
2019-01-30,08,83.0,296.35
2019-01-30,08,110.0,296.55
2019-01-30,08,97.0,296.75
2019-01-30,08,131.0,296.85
2019-01-30,08,135.0,296.95
2019-01-30,08,132.0,297.05
2019-01-30,09,128.0,296.95
2019-01-30,09,99.0,297.05
2019-01-30,09,90.0,296.85
2019-01-30,09,92.0,296.65
2019-01-30,09,111.0,296.65
2019-01-30,09,94.0,296.65
2019-01-30,09,120.0,296.75
2019-01-30,09,205.0,296.95
2019-01-30,09,153.0,297.15
2019-01-30,09,95.0,297.15
2019-01-30,09,116.0,297.25
2019-01-30,09,294.0,297.45
2019-01-30,10,269.0,297.85
2019-01-30,10,317.0,298.15
2019-01-30,10,328.0,298.45
2019-01-30,10,316.0,298.65
2019-01-30,10,325.0,298.75
2019-01-30,10,364.0,298.65
2019-01-30,10,322.0,298.65
2019-01-30,10,336.0,298.75
2019-01-30,10,415.0,298.85
2019-01-30,10,436.0,299.15
2019-01-30,10,559.0,299.65
2019-01-30,10,860.0,300.25
2019-01-30,11,575.0,300.95
2019-01-30,11,481.0,301.05
2019-01-30,11,385.0,300.85
2019-01-30,11,366.0,300.65
2019-01-30,11,346.0,300.55
2019-01-30,11,233.0,300.35
2019-01-30,11,256.0,300.15
2019-01-30,11,294.0,300.15
2019-01-30,11,280.0,300.05
2019-01-30,11,440.0,300.35
2019-01-30,11,698.0,300.85
2019-01-30,11,760.0,301.55
2019-01-30,12,588.0,302.35
2019-01-30,12,568.0,302.85
2019-01-30,12,421.0,303.15
2019-01-30,12,532.0,303.35
2019-01-30,12,796.0,303.45
2019-01-30,12,745.0,303.95
2019-01-30,12,684.0,304.45
2019-01-30,12,288.0,303.95
2019-01-30,12,259.0,303.35
2019-01-30,12,320.0,302.75
2019-01-30,12,400.0,302.75
2019-01-30,12,428.0,303.05
2019-01-30,13,396.0,303.15
2019-01-30,13,442.0,303.15
2019-01-30,13,472.0,303.35
2019-01-30,13,517.0,303.55
2019-01-30,13,535.0,304.05
2019-01-30,13,475.0,304.45
2019-01-30,13,490.0,304.65
2019-01-30,13,496.0,304.85
2019-01-30,13,481.0,304.95
2019-01-30,13,503.0,305.25
2019-01-30,13,593.0,305.45
2019-01-30,13,615.0,305.65
2019-01-30,14,646.0,305.85
2019-01-30,14,644.0,306.45
2019-01-30,14,664.0,306.65
2019-01-30,14,583.0,306.65
2019-01-30,14,943.0,306.55
2019-01-30,14,716.0,306.55
2019-01-30,14,683.0,306.75
2019-01-30,14,662.0,306.65
2019-01-30,14,718.0,306.85
2019-01-30,14,598.0,306.95
2019-01-30,14,656.0,307.45
2019-01-30,14,603.0,307.65
2019-01-30,15,553.0,307.45
2019-01-30,15,619.0,307.65
2019-01-30,15,515.0,307.55
2019-01-30,15,602.0,307.35
2019-01-30,15,896.0,308.25
2019-01-30,15,835.0,308.75
2019-01-30,15,808.0,308.45
2019-01-30,15,647.0,308.05
2019-01-30,15,741.0,308.35
2019-01-30,15,547.0,308.65
2019-01-30,15,719.0,308.75
2019-01-30,15,733.0,308.95
2019-01-30,16,787.0,308.75
2019-01-30,16,762.0,308.95
2019-01-30,16,755.0,309.15
2019-01-30,16,539.0,308.85
2019-01-30,16,327.0,308.45
2019-01-30,16,291.0,307.95
2019-01-30,16,351.0,307.35
2019-01-30,16,572.0,307.45
2019-01-30,16,515.0,307.75
2019-01-30,16,495.0,307.75
2019-01-30,16,244.0,307.55
2019-01-30,16,186.0,306.75
2019-01-30,17,229.0,306.45
2019-01-30,17,352.0,305.95
2019-01-30,17,313.0,305.45
2019-01-30,17,296.0,305.25
2019-01-30,17,274.0,305.35
2019-01-30,17,253.0,305.15
2019-01-30,17,256.0,304.85
2019-01-30,17,231.0,304.25
2019-01-30,17,204.0,303.55
2019-01-30,17,170.0,303.15
2019-01-30,17,141.0,302.75
2019-01-30,17,120.0,302.35
2019-01-30,18,45.0,302.05
2019-01-30,18,62.0,301.85
2019-01-30,18,61.0,301.65
2019-01-30,18,42.0,301.45
2019-01-30,18,38.0,301.35
2019-01-30,18,21.0,301.25
2019-01-30,18,13.0,301.05
2019-01-30,18,8.0,300.75
2019-01-30,18,5.0,300.55
2019-01-30,18,2.0,300.45
2019-01-30,18,-1.0,300.35
2019-01-30,18,-2.0,300.25
2019-01-30,19,-3.0,300.15
2019-01-30,19,-3.0,300.05
2019-01-30,19,-3.0,299.95
2019-01-30,19,-2.0,299.95
2019-01-30,19,-2.0,299.85
2019-01-30,19,-2.0,299.85
2019-01-30,19,-2.0,299.85
2019-01-30,19,-2.0,299.75
2019-01-30,19,-2.0,299.75
2019-01-30,19,-2.0,299.75
2019-01-30,19,-2.0,299.65
2019-01-30,19,-2.0,299.55
2019-01-30,20,-2.0,299.55
2019-01-30,20,-2.0,299.45
2019-01-30,20,-3.0,299.35
2019-01-30,20,-2.0,299.35
2019-01-30,20,-2.0,299.25
2019-01-30,20,-2.0,299.25
2019-01-30,20,-2.0,299.25
2019-01-30,20,-2.0,299.15
2019-01-30,20,-2.0,299.15
2019-01-30,20,-2.0,299.05
2019-01-30,20,-2.0,299.05
2019-01-30,20,-2.0,299.05
2019-01-30,21,-2.0,298.95
2019-01-30,21,-3.0,298.95
2019-01-30,21,-3.0,298.85
2019-01-30,21,-2.0,298.85
2019-01-30,21,-2.0,298.75
2019-01-30,21,-3.0,298.65
2019-01-30,21,-3.0,298.55
2019-01-30,21,-3.0,298.25
2019-01-30,21,-2.0,298.05
2019-01-30,21,-2.0,297.95
2019-01-30,21,-1.0,297.85
2019-01-30,21,-1.0,297.85
2019-01-30,22,-1.0,297.85
2019-01-30,22,-1.0,297.85
2019-01-30,22,-1.0,297.85
2019-01-30,22,-1.0,297.95
2019-01-30,22,-1.0,298.05
2019-01-30,22,-1.0,298.05
2019-01-30,22,-1.0,298.15
2019-01-30,22,-1.0,298.15
2019-01-30,22,-1.0,298.15
2019-01-30,22,-1.0,298.15
2019-01-30,22,-1.0,298.15
2019-01-30,22,0.0,298.25
2019-01-30,23,0.0,298.25
2019-01-30,23,-1.0,298.35
2019-01-30,23,-1.0,298.25
2019-01-30,23,0.0,298.35
2019-01-30,23,-1.0,298.35
2019-01-30,23,-1.0,298.35
2019-01-30,23,-1.0,298.35
2019-01-30,23,-1.0,298.35
2019-01-30,23,0.0,298.35
2019-01-30,23,0.0,298.45
2019-01-30,23,-1.0,298.45
2019-01-30,23,-1.0,298.45
2019-01-31,00,-1.0,298.45
2019-01-31,00,-1,298.45
2019-01-31,00,-1,298.35
2019-01-31,00,-1,298.35
2019-01-31,00,-1,298.35
2019-01-31,00,-1,298.45
2019-01-31,00,-1,298.35
2019-01-31,00,-1,298.35
2019-01-31,00,-1,298.35
2019-01-31,00,-1,298.45
2019-01-31,00,-1,298.35
2019-01-31,00,-1,298.25
2019-01-31,01,-1,298.15
2019-01-31,01,-1,298.15
2019-01-31,01,-1,298.15
2019-01-31,01,-1,298.05
2019-01-31,01,-1,298.05
2019-01-31,01,-1,298.05
2019-01-31,01,-1,298.05
2019-01-31,01,-1,298.05
2019-01-31,01,-1,297.95
2019-01-31,01,-1,297.95
2019-01-31,01,-1,297.85
2019-01-31,01,-1,297.85
2019-01-31,02,-1,297.75
2019-01-31,02,-1,297.75
2019-01-31,02,-1,297.65
2019-01-31,02,-1,297.65
2019-01-31,02,-1,297.65
2019-01-31,02,-1,297.65
2019-01-31,02,0,297.75
2019-01-31,02,0,297.75
2019-01-31,02,0,297.75
2019-01-31,02,0,297.85
2019-01-31,02,-1,297.85
2019-01-31,02,-1,297.85
2019-01-31,03,-1,297.85
2019-01-31,03,-1,297.85
2019-01-31,03,-1,297.75
2019-01-31,03,-1,297.75
2019-01-31,03,-1,297.75
2019-01-31,03,-1,297.75
2019-01-31,03,-1,297.75
2019-01-31,03,-1,297.65
2019-01-31,03,-1,297.65
2019-01-31,03,-1,297.55
